Name,Rating,Pricing,Number of Reviews,Location
El Azteca Mexican Restaurant,3.4,1.0,21,Portland
Senor Fajitas,4.0,1.0,42,Portland
5 Chefs,3.7,2.0,44,Portland
The Barbecue Pit,4.2,1.0,24,Portland
My Time Cafe,3.2,1.0,9,Portland
Bento Japanese Express,3.8,1.0,30,Portland
Mr Wok,3.2,1.0,32,Portland
Cousins Maine Lobster - Nashville,3.7,2.0,190,Portland
Pizza Hut,2.7,1.0,19,Portland
Arby's,2.9,1.0,8,Portland
Little Caesars,1.8,1.0,10,Portland
Burger King,3.4,1.0,7,Portland
McDonald's,1.4,1.0,23,Portland
Sonic Drive-In,1.8,1.0,12,Portland
Sol Azteca Franklin,3.9,1.0,39,Portland
Brewster's Bar & Grille,3.0,1.0,23,Portland
Subway,2.2,1.0,5,Portland
Subway,5.0,1.0,2,Portland
Sol Azteca,3.8,1.0,17,Portland
Domino's Pizza,2.3,1.0,11,Portland
Waffle House - Franklin,3.6,1.0,20,Portland
Cracker Barrel Old Country Store,2.8,2.0,54,Portland
Dairy Queen Grill & Chill,2.2,1.0,5,Portland
Denny's,2.4,1.0,35,Portland
Papa Johns Pizza,2.2,1.0,6,Portland
Burger King,3.2,1.0,11,Portland
McDonald's,1.6,1.0,32,Portland
GRAY'S On Main,3.7,2.0,683,Franklin
Red Pony,4.4,3.0,551,Franklin
Cork & Cow,4.3,3.0,323,Franklin
55 South - Franklin,4.2,2.0,760,Franklin
O' Be Joyful,4.1,2.0,119,Franklin
Puckett's Grocery & Restaurant,4.2,2.0,1119,Franklin
Culaccino,4.2,3.0,272,Franklin
JJ's Wine Bar,4.0,2.0,154,Franklin
McCreary's Irish Pub and Eatery,3.9,2.0,200,Franklin
Serrato's Steakhouse,4.6,2.0,190,Franklin
Franklin Chop House,3.9,2.0,182,Franklin
Frothy Monkey,4.0,2.0,552,Franklin
Pueblo Real Mexican Restaurant - Franklin,4.3,2.0,367,Franklin
Mojo's Tacos,4.1,2.0,383,Franklin
Ground Restaurant,4.3,2.0,157,Franklin
Quinn's Neighbourhood Pub and Eatery,4.0,2.0,271,Franklin
Mellow Mushroom Franklin,3.5,2.0,359,Franklin
Chrysalis,4.5,2.0,368,Franklin
BrickTop's,4.0,2.0,328,Franklin
Biscuit Love - Franklin,4.0,2.0,574,Franklin
Pasta and Cream,4.6,2.0,378,Franklin
Ruby Sunshine,4.0,2.0,534,Franklin
Merridee's Breadbasket,4.1,2.0,432,Franklin
Brixx Wood Fired Pizza + Craft Bar,4.0,2.0,271,Franklin
Sal's Family Pizza,3.8,2.0,212,Franklin
North Italia- Franklin,4.1,2.0,241,Franklin
Tupelo Honey Southern Kitchen & Bar,4.0,2.0,1247,Franklin
Koi Sushi & Thai,4.0,2.0,219,Franklin
Zolo's Italian Restaurant,3.3,2.0,155,Franklin
Hogwood BBQ,4.3,2.0,455,Franklin
Sperry's Restaurant,4.1,3.0,406,Franklin
Ground Restaurant - Cool Springs,4.4,2.0,487,Franklin
J. Alexander's,4.0,2.0,401,Franklin
Stoney River,4.0,3.0,346,Franklin
Garcia's,3.9,2.0,198,Franklin
Franklin Mercantile Deli,3.7,1.0,147,Franklin
Hattie B's Hot Chicken - Franklin,4.4,2.0,30,Franklin
The Bunganut Pig Bar & Restaurant,3.3,2.0,181,Franklin
Pita Way - Cool Springs,4.8,2.0,119,Franklin
Connors Steak & Seafood,3.9,3.0,377,Franklin
Gina's Stonefired Italian & Pizzeria,3.8,2.0,168,Franklin
The Coffee House at Second and Bridge,4.2,2.0,207,Franklin
Big Shake's Hot Chicken & Fish,4.0,2.0,502,Franklin
Sakura Japanese Restaurant,3.9,2.0,87,Franklin
Wild Ginger Restaurant,4.1,2.0,544,Franklin
Taziki's Mediterranean Cafe - Franklin,4.1,2.0,104,Franklin
Ice Point Cafe,4.6,2.0,137,Franklin
