Name,Rating,Pricing,Number of Reviews,Location,Category
J. Alexander's,4.0,2.0,401,Franklin,New American
Stoney River,4.0,3.0,346,Franklin,Steakhouses
Franklin Mercantile Deli,3.7,1.0,147,Franklin,Delis
Garcia's,3.9,2.0,198,Franklin,Mexican
Hattie B's Hot Chicken - Franklin,4.4,2.0,30,Franklin,Chicken Shop
The Coffee House at Second and Bridge,4.2,2.0,207,Franklin,Coffee & Tea
Hogwood BBQ,4.3,2.0,455,Franklin,Barbeque
The Bunganut Pig Bar & Restaurant,3.3,2.0,181,Franklin,Pubs
Pita Way - Cool Springs,4.8,2.0,119,Franklin,Mediterranean
Connors Steak & Seafood,3.9,3.0,377,Franklin,Seafood
Big Shake's Hot Chicken & Fish,4.0,2.0,502,Franklin,Chicken Shop
Sakura Japanese Restaurant,3.9,2.0,87,Franklin,Japanese
Ice Point Cafe,4.6,2.0,137,Franklin,Bubble Tea
Taziki's Mediterranean Cafe - Franklin,4.1,2.0,104,Franklin,Mediterranean
Sopapilla's,3.9,2.0,798,Franklin,Mexican
Ground Restaurant - Cool Springs,4.4,2.0,487,Franklin,American
